TCGA-49-4486-01A.16	197	0_HALLMARK_OXIDATIVE_PHOSPHORYLATION	164	44	0.0000000000000000000000000
TCGA-73-4670-01A.29	543	0_HALLMARK_OXIDATIVE_PHOSPHORYLATION	164	61	0.0000000000000000000000000
TCGA-38-4630-01A.12	928	2_NUCLEUS	1110	234	0.0000000000000000000000000
TCGA-44-8119-01A.24	407	2_NUCLEUS	1110	136	0.0000000000000000000000000
TCGA-49-4510-01A.6	46	0_HALLMARK_OXIDATIVE_PHOSPHORYLATION	164	24	0.0000000000000000000000000
TCGA-78-7536-01A.22	695	2_NUCLEUS	1110	185	0.0000000000000000000000000
TCGA-69-8255-01A.18	613	0_HALLMARK_OXIDATIVE_PHOSPHORYLATION	164	59	0.0000000000000000000000000
TCGA-50-5066-02A.13	804	2_NUCLEUS	1110	202	0.0000000000000000000000002
TCGA-73-4659-01A.12	606	2_CYTOPLASM	1461	198	0.0000000000000000000000008
TCGA-38-4630-01A.12	928	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	1027	209	0.0000000000000000000000025
TCGA-55-6972-01A.16	425	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	175	50	0.0000000000000000000000056
TCGA-44-3396-01A.9	645	2_NUCLEUS	1110	171	0.0000000000000000000000103
TCGA-44-7669-01A.21	287	2_NUCLEUS	1110	101	0.0000000000000000000000652
TCGA-73-4659-01A.12	606	0_HALLMARK_OXIDATIVE_PHOSPHORYLATION	164	55	0.0000000000000000000001053
TCGA-49-4486-01A.16	197	1_KEGG_PARKINSONS_DISEASE	103	29	0.0000000000000000000003378
TCGA-49-4510-01A.6	46	1_KEGG_OXIDATIVE_PHOSPHORYLATION	92	18	0.0000000000000000000004105
TCGA-49-4494-01A.18	347	0_HALLMARK_OXIDATIVE_PHOSPHORYLATION	164	42	0.0000000000000000000034210
TCGA-44-3396-01A.9	645	2_DNA_METABOLIC_PROCESS	218	63	0.0000000000000000000087648
TCGA-69-8255-01A.18	613	2_NUCLEUS	1110	158	0.0000000000000000000318197
TCGA-73-4670-01A.29	543	2_CYTOPLASM	1461	173	0.0000000000000000000693241
TCGA-73-4670-01A.29	543	2_CYTOPLASMIC_PART	912	128	0.0000000000000000000807566
TCGA-38-4630-01A.12	928	2_BIOPOLYMER_METABOLIC_PROCESS	1367	242	0.0000000000000000001194545
TCGA-73-4668-01A.20	581	2_NUCLEUS	1110	151	0.0000000000000000001434608
TCGA-44-2655-01A.11	243	1_KEGG_PROTEIN_EXPORT	20	16	0.0000000000000000001674871
TCGA-49-4510-01A.6	46	1_KEGG_PARKINSONS_DISEASE	103	17	0.0000000000000000002504596
TCGA-73-4666-01A.22	529	2_NUCLEUS	1110	141	0.0000000000000000003463485
TCGA-38-4630-01A.12	928	2_INTRACELLULAR_ORGANELLE_PART	912	181	0.0000000000000000004353318
TCGA-38-4630-01A.12	928	2_ORGANELLE_PART	916	181	0.0000000000000000007318838
TCGA-44-7669-01A.21	287	0_HALLMARK_E2F_TARGETS	169	37	0.0000000000000000009805308
TCGA-69-7973-01A.13	377	2_NUCLEUS	1110	112	0.0000000000000000010797933
TCGA-05-4434-01A.8	604	2_NUCLEUS	1110	153	0.0000000000000000011753028
TCGA-05-4244-01A.17	44	2_DNA_METABOLIC_PROCESS	218	20	0.0000000000000000013921161
TCGA-93-8067-01A.16	342	2_NUCLEUS	1110	105	0.0000000000000000014277166
TCGA-49-4486-01A.16	197	1_KEGG_OXIDATIVE_PHOSPHORYLATION	92	25	0.0000000000000000022639907
TCGA-50-5066-02A.13	804	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	1027	176	0.0000000000000000025292476
TCGA-86-8054-01A.21	256	2_NUCLEUS	1110	87	0.0000000000000000032189361
TCGA-49-4510-01A.6	46	1_KEGG_ALZHEIMERS_DISEASE	148	18	0.0000000000000000036797382
TCGA-50-5066-02A.13	804	2_BIOPOLYMER_METABOLIC_PROCESS	1367	214	0.0000000000000000041824328
TCGA-44-3396-01A.9	645	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	145	48	0.0000000000000000045314381
TCGA-69-8255-01A.18	613	0_HALLMARK_MYC_TARGETS_V1	178	52	0.0000000000000000055594211
TCGA-55-6972-01A.11	24	1_KEGG_AXON_GUIDANCE	125	14	0.0000000000000000070862418
TCGA-44-3396-01A.9	645	2_DNA_REPAIR	113	42	0.0000000000000000096559672
TCGA-44-2655-01A.11	243	2_CYTOPLASM	1461	97	0.0000000000000000139631101
TCGA-55-A4DF-01A.26	28	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	145	15	0.0000000000000000157589767
TCGA-86-8054-01A.21	256	0_HALLMARK_E2F_TARGETS	169	34	0.0000000000000000218812641
TCGA-49-4510-01A.6	46	1_KEGG_CARDIAC_MUSCLE_CONTRACTION	63	14	0.0000000000000000252824405
TCGA-55-A4DF-01A.26	28	2_DNA_REPAIR	113	14	0.0000000000000000315722042
